Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
1.359013494423543,1.0000000826913506e-10,"2/4 Nerissa Place Randwick Park, Auckland",4.3060437013994255,13.353475098367715,-37.0230935,174.9208854,7009958,11.332314925934417,5.681022892394129,5.8674419430302684,5.839910636076197,4.107340966149663,3.5033933217110365,Randwick Park,17.45947484180172,10.0
1.8173200822130249,0.6978740502332403,"31 Rapallo Place Farm Cove, Auckland",5.962120854748859,14.151982794585487,-36.8949914,174.8937769,7006737,11.332314925934417,5.681022892394129,7.131680373741203,8.565716389246917,7.448178853913591,6.3654081003427345,Farm Cove,20.89859915793634,4.0
1.8173200822130249,1.1105182569051057,"37b Kelvin Road Remuera, Auckland",4.7208232723562835,14.108180171927094,-36.8763644,174.8190155,7006075,11.332314925934417,4.101887387811977,6.739646261811772,9.146635177114666,8.12241128817899,8.8789534521338,Remuera,21.413609929952273,3.0
1.8173200822130249,0.6978740502332403,"46 Waiatarua Road Remuera, Auckland",5.9578774429134045,14.71159858252091,-36.8762123,174.8199745,7006075,11.332314925934417,4.101887387811977,6.739646261811772,9.146635177114666,8.12241128817899,8.8789534521338,Remuera,21.413609929952273,3.0
1.359013494423543,1.0000000826913506e-10,"6 Dorendia Place Clendon Park, Auckland",5.559566331425849,13.180632285528304,-37.0252348,174.8630015,7009471,16.12488159033916,8.71183370076656,8.497916071989527,8.565716389246917,9.35912952886131,4.230968171448321,Clendon Park,25.404223010244447,10.0
1.8173200822130249,0.6978740502332403,"63 John Street Pukekohe, Auckland",5.780469958777999,13.500799813124575,-37.21339620000001,174.9054744,7010539,10.624858567479729,4.692195211665663,4.208266318894455,8.565716389246917,8.757285446425849,7.914266305354949,Pukekohe,20.189438828103544,2.0
1.359013494423543,1.0000000826913506e-10,"70 Rimu Street New Lynn, Auckland",5.3810654437065715,13.604789526648622,-36.903786,174.6686326,7004296,8.151562825033384,5.681022892394129,6.739646261811772,7.952193830461668,5.080961874119846,5.907409525733242,New Lynn,18.2847176689703,6.0
1.359013494423543,1.0000000826913506e-10,"52 Easton Park Parade Glenfield, Auckland",5.709481691259696,13.972514306773938,-36.7780575,174.7153418,7002617,10.253032262621986,8.156576552225594,7.131680373741203,6.599815836480388,5.943190082557632,7.1869599008551175,Glenfield,20.5473717909686,4.0
1.359013494423543,1.0000000826913506e-10,"7a Eulogy Place Randwick Park, Auckland",4.235787707752759,13.199324418540456,-37.0289075,174.9155234,7009880,11.332314925934417,5.212512913879303,5.373484878574275,6.599815836480388,4.107340966149663,2.608997896640341,Randwick Park,17.246497624884437,10.0
1.8173200822130249,1.0000000826913506e-10,"6/25 Solveig Place Randwick Park, Auckland",4.150346221855601,13.091904169919621,-37.02979929999999,174.911026,7009882,15.138423947522142,10.153721201858783,8.18132710554022,7.952193830461668,6.725919356444759,3.5033933217110365,Randwick Park,24.253890336975633,10.0
